Idx,Light,Medium,Heavy,SuperHeavy,LightCarryable,MediumCarryable,HeavyCarryable
Archer,0.000000,10.000000,20.000000,30.000000,0.000000,50.000000,50.000000
Longbowman,0.000000,10.000000,20.000000,30.000000,0.000000,50.000000,50.000000
Crossbowman,0.000000,10.000000,20.000000,30.000000,0.000000,50.000000,50.000000
Javelineer,0.000000,10.000000,20.000000,30.000000,0.000000,50.000000,50.000000
Skirmisher,0.000000,10.000000,20.000000,30.000000,0.000000,50.000000,50.000000
Vanguard,0.000000,10.000000,20.000000,30.000000,0.000000,50.000000,50.000000
Raider,0.000000,10.000000,20.000000,30.000000,0.000000,50.000000,50.000000
Devastator,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,50.000000
Ambusher,0.000000,10.000000,20.000000,30.000000,0.000000,50.000000,50.000000
Highlander,0.000000,10.000000,20.000000,30.000000,0.000000,50.000000,50.000000
Berserker,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,50.000000
Footman,0.000000,10.000000,20.000000,30.000000,0.000000,50.000000,50.000000
ManAtArms,0.000000,10.000000,20.000000,30.000000,0.000000,50.000000,50.000000
Poleman,0.000000,10.000000,20.000000,30.000000,0.000000,50.000000,50.000000
Knight,0.000000,10.000000,20.000000,30.000000,0.000000,50.000000,50.000000
Guardian,0.000000,10.000000,20.000000,30.000000,0.000000,50.000000,50.000000
Crusader,0.000000,10.000000,20.000000,30.000000,0.000000,50.000000,50.000000
Officer,0.000000,10.000000,20.000000,30.000000,0.000000,50.000000,50.000000
