Key,SourceString
"AdjustFieldOfView","Field Of View"
"DuringAttackDrag","Dragging"
"AimAroundParries","Getting Around Parries"
"StrikeFirst","Striking First"
"AltAttackSurprise","Keep Em Guessing"
"NoJumpHealthStam","Health & Stamina Regen"
"JumpToDodge","Dodging"
"TeamDamage","Team Damage"
"LongerSlowerWeaponDrag","Dragging"
"ChainAttacks","Attack Chaining"
"AttacksCancelled","Cancelling Attacks"
"WeaponDamageRelease","Weapon Damage"
"VulnerableRecovery","Recovery Phase"
"FeintingMissingStam","Stamina Cost"
"CounterAttackAfterPary","Riposte"
"PrecisionOverheads","Team Fighting"
"DuckEnemyAttack","Ducking"
"FeintAttackWindup","Feinting"
"ParryTooFast","Parrying"
"HeavyAttacksStrikeQuickly","Dodging"
"ChangeAttackDirection","Alternate Swings"
"WASDIsFeet","Movement"
"ParryAgainAfterParry","Parrying"
"TurningTipParry","Parrying"
"NumbersAdvantage","Team Fighting"
"GroupAttacks","Team Fighting"
"StickTogether","Team Fighting"
"WindingUpCancel","Cancelling Attacks"
"ActivateBattlecry","Battlecries"
"SelectClass","Classes"
"ToggleCamera","Camera"
"OverlayDefaultControls","Controls"
"BlockProjectiles","Blocking"
"EnemyCowardThrow","Throwing A Weapon"
"DownedEnemies","Downed Enemies"
"CrawlWhileDowned","Crawling"
"ReviveTeammates","Reviving"
"ShiftToFocus","Aiming Down Sights"
"BrokenShields","Shield Breaking"
"BloodyEnemies","Bloodied Enemies"
"PickUpWeapon","Picking Up Weapons"
"ItemsUsedAsWeapon","Items Used As Weapons"
"SpecialAttacks","Special Attacks"
"SpecialAttackSpeed","Special Attacks"
"SpecialAttackBlock","Special Attacks"
"SpecialAttackDodge","Special Attacks"
"ArrowTravel","Lead Your Targets"
"ShieldBlockArrows","Blocking"
"AimForHead","Aiming"
"DamageFallOff","Damage Fall Off"
"ArrowDrop","Projectile Drop"
"DrawBow","Drawing A Bow"
"HoldingDrawStam","Holding A Drawn Bow"
"KnightsHealth","Classes"
"VanguardWeapons","Classes"
"FootmenPole","Classes"
"ArchersRanged","Classes"
"SpearsPoleRange","Weapons"
"Counterfeints1","Counter Feints"
"Countertips1","Counter Tips"
"Riposte1","Riposte"
"Counter1","Counter"
"HeavyAttacks1","Heavy Attacks"
"Initiative1","Initiative 1"
"Initiative22","Initiative 2"
"Foodie","Eating Food"
