Key,SourceString
"SwordName","SWORD"
"ThrowingKnifeName","THROWING KNIFE"
"ThrowingAxeName","THROWING AXE"
"SpearName","SPEAR"
"PolehammerName","POLEHAMMER"
"MaceName","MACE"
"LanceName","LANCE"
"HeavyMaceName","HEAVY MACE"
"DaneAxeName","DANE AXE"
"HalberdName","HALBERD"
"GreatswordName","GREATSWORD"
"Arrow","ARROW"
"AxeName","AXE"
"BastardSwordName","LONGSWORD"
"BattleAxeName","BATTLE AXE"
"BowName","BOW"
"CrossbowName","CROSSBOW"
"CudgelName","CUDGEL"
"DaggerName","DAGGER"
"LightShieldName","LIGHT SHIELD"
"MediumShieldName","MEDIUM SHIELD"
"HeavyShieldName","HEAVY SHIELD"
"MesserName","MESSER"
"HeavyAxeName","HEAVY AXE"
"Torch","TORCH"
"PoleAxeName","POLE AXE"
"QuiverName","QUIVER"
"JavelinName","JAVELIN"
"LongswordName","LONGSWORD"
"OilPotName","OIL POT"
"SmokePotName","SMOKE POT"
"SupplyCrateName","SUPPLY CRATE"
"BandageCrateName","BANDAGE CRATE"
"BarricadeName","BARRICADE"
"SpikeTrapName","SPIKE TRAP"
"PaviseShieldName","PAVISE SHIELD"
"ShortSwordName","SHORT SWORD"
"MaulName","MAUL"
"Bolt","BOLT"
"Fist","FIST"
"ExecutionersAxe","EXECUTIONERS AXE"
"WarClub","WAR CLUB"
"TwoHandedHammer","TWO HANDED HAMMER"
"Hatchet","HATCHET"
"MorningStar","MORNING STAR"
"WarAxe","WAR AXE"
"PickAxe","PICK AXE"
"Knife","KNIFE"
"WarScythe","WAR SCYTHE"
"Sledgehammer","SLEDGEHAMMER"
"Shovel","SHOVEL"
"OneHandedSpear","ONE HANDED SPEAR"
"Glaive","GLAIVE"
"ThrowingMallet","MALLET"
"FalchionName","FALCHION"
"BeeHive","BEE HIVE"
"BandageKit","BANDAGE KIT"
"RapierName","RAPIER"
"WarBowName","WAR BOW"
"HighlandSwordName","HIGHLAND SWORD"
"ArmouredFists","ARMOURED FISTS"
"HeavyCrossbowName","SIEGE CROSSBOW"
"WarhammerName","WARHAMMER"
"KatarsName","KATARS"
"QuarterstaffName","QUARTERSTAFF"
"BrokenSword","BROKEN SWORD"
"HeavyCavalrySwordName","HEAVY CAVALRY SWORD"
"GoedendagName","GOEDENDAG"
