Idx,DisplayName,DisplayLocation,Description,Icon,Value,Subclasses
Fighter,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""Fighter"")",DisplayAsAbility,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""FightDesc"")",None,20.000000,
Helper,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""Helper"")",DisplayAsAbility,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""HelperDesc"")",None,25.000000,"(BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/FieldEngineer.FieldEngineer_C""')"
Agile,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""Agile"")",DisplayAsAbility,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""AgileDesc"")",None,10.000000,"(BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/ManAtArms.ManAtArms_C""')"
Elusive,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""Elusive"")",DisplayAsAbility,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""ElusiveDesc"")",None,-50.000000,"(BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/ManAtArms.ManAtArms_C""')"
Eager,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""Eager"")",DisplayAsAbility,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""EagerDesc"")",None,25.000000,"(BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Poleman.Poleman_C""')"
Tackle,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""TACKLE"")",DisplayAsPerk,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""TackleDesc"")",Texture2D'/Game/UI/Textures/Icons/Abilities/SprintTackle.SprintTackle',0.000000,"(BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Poleman.Poleman_C""',BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Crusader.Crusader_C""',BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Guardian.Guardian_C""',BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Officer.Officer_C""',None)"
Heavy,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""Heavy"")",DisplayAsVulnerability,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""HeavyDesc"")",None,50.000000,"(BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Guardian.Guardian_C""',BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Officer.Officer_C""',BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Crusader.Crusader_C""')"
Sneaky,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""Sneaky"")",DisplayAsAbility,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""SneakyDesc"")",None,50.000000,"(BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Ambusher.Ambusher_C""')"
Sapper,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""SAPPER"")",DisplayAsAbility,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""SapperDesc"")",None,100.000000,"(BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/FieldEngineer.FieldEngineer_C""')"
Focus,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""FOCUS"")",DisplayAsPerk,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""FOCUSDesc"")",Texture2D'/Game/UI/Textures/Icons/Abilities/Focus.Focus',0.000000,"(BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Longbowman.Longbowman_C""',BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Crossbowman.Crossbowman_C""',None)"
Sway,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""SWAY"")",DisplayAsVulnerability,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""SWAYDesc"")",None,0.000000,"(BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Longbowman.Longbowman_C""')"
StaticReload,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""StaticReload"")",DisplayAsVulnerability,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""StaticReloadDesc"")",None,0.000000,"(BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Crossbowman.Crossbowman_C""')"
LeapingStrike,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""LEAPINGSTRIKE"")",DisplayAsPerk,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""LEAPINGSTRIKEDesc"")",Texture2D'/Game/UI/Textures/Icons/Abilities/SprintLeapattack.SprintLeapattack',0.000000,"(BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Skirmisher.Skirmisher_C""',BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Devastator.Devastator_C""',BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Raider.Raider_C""',BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Ambusher.Ambusher_C""',BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Highlander.Highlander_C""',None)"
Infirm,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""INFIRM"")",DisplayAsVulnerability,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""INFIRMDesc"")",None,0.000000,"(BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Skirmisher.Skirmisher_C""')"
Unshielded,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""UNSHIELDED"")",DisplayAsVulnerability,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""UNSHIELDEDDesc"")",None,0.000000,"(BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Devastator.Devastator_C""',BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Raider.Raider_C""',BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Ambusher.Ambusher_C""',BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Poleman.Poleman_C""',BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Highlander.Highlander_C""')"
RapidFire,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""RapidFire"")",DisplayAsAbility,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""RapidFireDesc"")",None,0.000000,"(BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Longbowman.Longbowman_C""')"
Anti-armour,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""Anti-Armour"")",DisplayAsAbility,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""Anti-ArmourDesc"")",None,0.000000,"(BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Crossbowman.Crossbowman_C""')"
Hybrid,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""Hybrid"")",DisplayAsAbility,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""HybridDesc"")",None,0.000000,"(BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Skirmisher.Skirmisher_C""')"
HeavyHanded,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""HeavyHanded"")",DisplayAsAbility,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""HeavyHandedDesc"")",None,0.000000,"(BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Devastator.Devastator_C""')"
WellEquipped,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""WellEquipped"")",DisplayAsAbility,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""WellEquippedDesc"")",None,0.000000,"(BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Raider.Raider_C""')"
PoorSecondaries,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""PoorSecondaries"")",DisplayAsVulnerability,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""PoorSecondariesDesc"")",None,0.000000,"(BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Devastator.Devastator_C""',BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Highlander.Highlander_C""')"
SprintCharge,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""SPRINTCHARGE"")",DisplayAsPerk,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""SPRINTCHARGEDesc"")",Texture2D'/Game/UI/Textures/Icons/Abilities/SprintCharge.SprintCharge',0.000000,"(BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Poleman.Poleman_C""',BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/ManAtArms.ManAtArms_C""',BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/FieldEngineer.FieldEngineer_C""',None)"
PoorlyEquipped,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""PoorlyEquipped"")",DisplayAsVulnerability,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""PoorlyEquippedDesc"")",None,0.000000,"(BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/FieldEngineer.FieldEngineer_C""')"
Headhunter,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""HEADHUNTER"")",DisplayAsChargingMethod,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""HEADHUNTERDesc"")",None,0.000000,(None)
Charger,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""CHARGER"")",DisplayAsChargingMethod,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""CHARGERDesc"")",None,0.000000,"(BlueprintGeneratedClass'""/Game/Characters/Classes/Vanguard.Vanguard_C""')"
Medic,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""MEDIC"")",DisplayAsChargingMethod,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""MEDICDesc"")",None,0.000000,"(BlueprintGeneratedClass'""/Game/Characters/Classes/Footman.Footman_C""')"
Unbreakable,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""UNBREAKABLE"")",DisplayAsChargingMethod,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""UNBREAKABLEDesc"")",None,0.000000,"(BlueprintGeneratedClass'""/Game/Characters/Classes/Knight.Knight_C""')"
HeavyShield,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""HeavyShield"")",DisplayAsAbility,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""HeavyShieldDesc"")",None,0.000000,"(BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Guardian.Guardian_C""')"
Zeal,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""OffensiveZeal"")",DisplayAsAbility,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""OffensiveZealDesc"")",None,0.000000,"(BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Crusader.Crusader_C""')"
Veteran,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""CraftyVeteran"")",DisplayAsAbility,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""CraftyVeteranDesc"")",None,0.000000,"(BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Officer.Officer_C""')"
LacksDamage,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""LacksDamage"")",DisplayAsVulnerability,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""LacksDamageDesc"")",None,0.000000,"(BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/ManAtArms.ManAtArms_C""')"
Murderer,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""MURDERER"")",DisplayAsChargingMethod,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""MURDERERDesc"")",None,0.000000,"(BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Ambusher.Ambusher_C""')"
RangedHeadhunter,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""RANGEDHEADHUNTER"")",DisplayAsChargingMethod,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""RANGEDHEADHUNTERDesc"")",None,0.000000,"(BlueprintGeneratedClass'""/Game/Characters/Classes/Archer.Archer_C""')"
Sniper,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""SNIPER"")",DisplayAsAbility,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""SNIPERDesc"")",None,25.000000,"(BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Longbowman.Longbowman_C""',BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Crossbowman.Crossbowman_C""',BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Skirmisher.Skirmisher_C""',BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Ambusher.Ambusher_C""',None)"
Swiper,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""SWIPER"")",DisplayAsAbility,"LOCTABLE(""/Game/UI/Stringtables/ST_Class_Perks.ST_Class_Perks"", ""SWIPERDesc"")",None,0.000000,"(BlueprintGeneratedClass'""/Game/Characters/Classes/Subclasses/Highlander.Highlander_C""')"
